"","Author","species","life_stage"
"169","Corline","cyclopidae","adult"
"170","Corline","cyclopidae","nauplii"
"171","Corline","cypridopsis","adult"
"172","Corline","Eucypris","adult"
"173","Corline","Eucypris","juvenile"
"174","Corline","ilyocypris","adult"
"175","Corline","Rotifera","adult"
"176","Corline","bosmina","adult"
"177","Corline","chydorus","adult"
"178","Corline","ceriodaphnia","adult"
"179","Corline","pulex","adult"
"180","Corline","laevis","adult"
"181","Corline","mixtus","adult"
"182","Corline","Calinoida","adult"
"183","Corline","acanthocyclops","adult"
"184","Corline","cyclopidae","adult"
"185","Corline","cyclopidae","adult"
"186","Corline","cyclopidae","nauplii"
"187","Corline","cypridopsis","adult"
"188","Corline","Eucypris","adult"
"189","Corline","Eucypris","juvenile"
"190","Corline","Rotifera","adult"
"191","Corline","bosmina","adult"
"192","Corline","chydorus","adult"
"193","Corline","ceriodaphnia","adult"
"194","Corline","pulex","adult"
"195","Corline","laevis","adult"
"196","Corline","mixtus","adult"
"197","Corline","acanthocyclops","adult"
"198","Corline","cyclopidae","adult"
"199","Corline","cyclopidae","nauplii"
"200","Corline","cypridopsis","adult"
"201","Corline","Eucypris","juvenile"
"202","Corline","Rotifera","adult"
"203","Corline","chydorus","adult"
"204","Corline","ceriodaphnia","adult"
"205","Corline","pulex","adult"
"206","Corline","laevis","adult"
"207","Corline","mixtus","adult"
"208","Corline","acanthocyclops","adult"
"209","Corline","cyclopidae","adult"
"210","Corline","cyclopidae","nauplii"
"211","Corline","cypridopsis","adult"
"212","Corline","ilyocypris","adult"
"213","Corline","bosmina","adult"
"214","Corline","chydorus","adult"
"215","Corline","ceriodaphnia","adult"
"216","Corline","pulex","adult"
"217","Corline","laevis","adult"
"218","Corline","miona","adult"
"219","Corline","mixtus","adult"
"220","Corline","Calinoida","adult"
"221","Corline","acanthocyclops","adult"
"222","Corline","cyclopidae","adult"
"223","Corline","cyclopidae","adult"
"224","Corline","cyclopidae","nauplii"
"225","Corline","bosmina","adult"
"226","Corline","chydorus","adult"
"227","Corline","ceriodaphnia","adult"
"228","Corline","pulex","adult"
"229","Corline","laevis","adult"
"230","Corline","Daphnidae","adult"
"231","Corline","mixtus","adult"
"232","Corline","Calinoida","adult"
"233","Corline","acanthocyclops","adult"
"234","Corline","cyclopidae","adult"
"235","Corline","cyclopidae","nauplii"
"236","Corline","cypridopsis","adult"
"237","Corline","Eucypris","adult"
"238","Corline","Eucypris","juvenile"
"239","Corline","ilyocypris","adult"
"240","Corline","Podacopida","adult"
"241","Corline","Rotifera","adult"
"242","Corline","bosmina","adult"
"243","Corline","chydorus","adult"
"244","Corline","ceriodaphnia","adult"
"245","Corline","pulex","adult"
"246","Corline","laevis","adult"
"247","Corline","mixtus","adult"
"248","Corline","Daphnidae","embryo"
"249","Corline","acanthocyclops","adult"
"250","Corline","cyclopidae","adult"
"251","Corline","cyclopidae","nauplii"
"252","Corline","cypridopsis","adult"
"253","Corline","Eucypris","adult"
"254","Corline","Eucypris","juvenile"
"255","Corline","Rotifera","adult"
"256","Corline","Collembola","adult"
"257","Corline","bosmina","adult"
"258","Corline","chydorus","adult"
"259","Corline","ceriodaphnia","adult"
"260","Corline","magna","adult"
"261","Corline","pulex","adult"
"262","Corline","parvula","adult"
"263","Corline","mixtus","adult"
"264","Corline","Daphnidae","embryo"
"265","Corline","Calinoida","adult"
"266","Corline","acanthocyclops","adult"
"267","Corline","cyclopidae","adult"
"268","Corline","cyclopidae","nauplii"
"269","Corline","Eucypris","adult"
"270","Corline","Eucypris","juvenile"
"271","Corline","Rotifera","adult"
"272","Corline","bosmina","adult"
"273","Corline","chydorus","adult"
"274","Corline","ceriodaphnia","adult"
"275","Corline","pulex","adult"
"276","Corline","laevis","adult"
"277","Corline","mixtus","adult"
"278","Corline","Calinoida","adult"
"279","Corline","acanthocyclops","adult"
"280","Corline","cyclopidae","adult"
"281","Corline","cyclopidae","nauplii"
"282","Corline","Eucypris","adult"
"283","Corline","Eucypris","juvenile"
"284","Corline","Rotifera","adult"
"285","Corline","bosmina","adult"
"286","Corline","chydorus","adult"
"287","Corline","ceriodaphnia","adult"
"288","Corline","pulex","adult"
"289","Corline","laevis","adult"
"290","Corline","mixtus","adult"
"291","Corline","Daphnidae","embryo"
"292","Corline","Calinoida","adult"
"293","Corline","acanthocyclops","adult"
"294","Corline","cyclopidae","adult"
"295","Corline","cyclopidae","nauplii"
"296","Corline","Eucypris","adult"
"297","Corline","Eucypris","juvenile"
"298","Corline","bosmina","adult"
"299","Corline","chydorus","adult"
"300","Corline","ceriodaphnia","adult"
"301","Corline","pulex","adult"
"302","Corline","laevis","adult"
"303","Corline","parvula","adult"
"304","Corline","mixtus","adult"
"305","Corline","Daphnidae","embryo"
"306","Corline","cyclopidae","adult"
"307","Corline","cyclopidae","nauplii"
"308","Corline","Eucypris","adult"
"309","Corline","Eucypris","juvenile"
"310","Corline","Rotifera",NA
"311","Corline","bosmina","adult"
"312","Corline","chydorus","adult"
"313","Corline","ceriodaphnia","adult"
"314","Corline","magna","adult"
"315","Corline","pulex","adult"
"316","Corline","laevis","adult"
"317","Corline","mixtus","adult"
"318","Corline","Daphnidae","embryo"
"319","Corline","acanthocyclops","adult"
"320","Corline","cyclopidae","adult"
"321","Corline","Eucypris","adult"
"322","Corline","Eucypris","juvenile"
"323","Corline","bosmina","adult"
"324","Corline","chydorus","adult"
"325","Corline","ceriodaphnia","adult"
"326","Corline","pulex","adult"
"327","Corline","laevis","adult"
"328","Corline","mixtus","adult"
"329","Corline","Ilyocryptidae","adult"
"330","Corline","Sida","adult"
"331","Corline","Calinoida","adult"
"332","Corline","acanthocyclops","adult"
"333","Corline","cyclopidae","adult"
"334","Corline","cyclopidae","nauplii"
"335","Corline","cypridopsis","adult"
"336","Corline","Eucypris","adult"
"337","Corline","Eucypris","juvenile"
"338","Corline","ilyocypris","adult"
"339","Corline","Rotifera","adult"
"340","Corline","bosmina","adult"
"341","Corline","chydorus","adult"
"342","Corline","ceriodaphnia","adult"
"343","Corline","pulex","adult"
"344","Corline","laevis","adult"
"345","Corline","mixtus","adult"
"346","Corline","Calinoida","adult"
"347","Corline","acanthocyclops","adult"
"348","Corline","cyclopidae","adult"
"349","Corline","cyclopidae","nauplii"
"350","Corline","cypridopsis","adult"
"351","Corline","Eucypris","adult"
"352","Corline","Eucypris","juvenile"
"353","Corline","bosmina","adult"
"354","Corline","chydorus","adult"
"355","Corline","ceriodaphnia","adult"
"356","Corline","pulex","adult"
"357","Corline","laevis","adult"
"358","Corline","mixtus","adult"
"359","Corline","acanthocyclops","adult"
"360","Corline","cyclopidae","adult"
"361","Corline","cyclopidae","nauplii"
"362","Corline","cypridopsis","adult"
"363","Corline","Eucypris","adult"
"364","Corline","Eucypris","juvenile"
"365","Corline","chydorus","adult"
"366","Corline","ceriodaphnia","adult"
"367","Corline","pulex","adult"
"368","Corline","laevis","adult"
"369","Corline","mixtus","adult"
"370","Corline","acanthocyclops","adult"
"371","Corline","cyclopidae","adult"
"372","Corline","cypridopsis","adult"
"373","Corline","Eucypris","adult"
"374","Corline","Eucypris","juvenile"
"375","Corline","bosmina","adult"
"376","Corline","chydorus","adult"
"377","Corline","ceriodaphnia","adult"
"378","Corline","pulex","adult"
"379","Corline","laevis","adult"
"380","Corline","mixtus","adult"
"381","Corline","acanthocyclops","adult"
"382","Corline","cyclopidae","adult"
"383","Corline","cyclopidae","nauplii"
"384","Corline","cypridopsis","adult"
"385","Corline","Eucypris","adult"
"386","Corline","Eucypris","juvenile"
"387","Corline","Rotifera","adult"
"388","Corline","Nematoda","adult"
"389","Corline","bosmina","adult"
"390","Corline","chydorus","adult"
"391","Corline","ceriodaphnia","adult"
"392","Corline","pulex","adult"
"393","Corline","laevis","adult"
"394","Corline","mixtus","adult"
"395","Corline","acanthocyclops","adult"
"396","Corline","cyclopidae","adult"
"397","Corline","cyclopidae","nauplii"
"398","Corline","cypridopsis","adult"
"399","Corline","Eucypris","adult"
"400","Corline","Eucypris","juvenile"
"401","Corline","ilyocypris","adult"
"402","Corline","bosmina","adult"
"403","Corline","chydorus","adult"
"404","Corline","ceriodaphnia","adult"
"405","Corline","pulex","adult"
"406","Corline","laevis","adult"
"407","Corline","mixtus","adult"
"408","Corline","acanthocyclops","adult"
"409","Corline","cyclopidae","adult"
"410","Corline","cyclopidae","nauplii"
"411","Corline","Eucypris","adult"
"412","Corline","Eucypris","juvenile"
"413","Corline","ilyocypris","adult"
"414","Corline","Rotifera","adult"
"415","Corline","Nematoda","adult"
"416","Corline","bosmina","adult"
"417","Corline","chydorus","adult"
"418","Corline","ceriodaphnia","adult"
"419","Corline","magna","adult"
"420","Corline","pulex","adult"
"421","Corline","laevis","adult"
"422","Corline","Daphnidae","embryo"
"423","Corline","Calinoida","adult"
"424","Corline","acanthocyclops","adult"
"425","Corline","cyclopidae","adult"
"426","Corline","Eucypris","juvenile"
"427","Corline","Rotifera","adult"
"428","Corline","bosmina","adult"
"429","Corline","chydorus","adult"
"430","Corline","ceriodaphnia","adult"
"431","Corline","magna","adult"
"432","Corline","pulex","adult"
"433","Corline","laevis","adult"
"434","Corline","mixtus","embryo"
"435","Corline","Sida","adult"
"436","Corline","Calinoida","adult"
"437","Corline","acanthocyclops","adult"
"438","Corline","cyclopidae","adult"
"439","Corline","Eucypris","juvenile"
"440","Corline","ilyocypris","adult"
"441","Corline","Rotifera","adult"
"442","Corline","Nematoda","adult"
"443","Corline","bosmina","adult"
"444","Corline","chydorus","adult"
"445","Corline","ceriodaphnia","adult"
"446","Corline","magna","adult"
"447","Corline","pulex","adult"
"448","Corline","mixtus","adult"
"449","Corline","acanthocyclops","adult"
"450","Corline","cyclopidae","adult"
"451","Corline","cyclopidae","nauplii"
"452","Corline","cypridopsis","adult"
"453","Corline","Eucypris","juvenile"
"454","Corline","ilyocypris","adult"
"455","Corline","bosmina","adult"
"456","Corline","chydorus","adult"
"457","Corline","ceriodaphnia","adult"
"458","Corline","magna","adult"
"459","Corline","pulex","adult"
"460","Corline","parvula","adult"
"461","Corline","mixtus","adult"
"462","Corline","Daphnidae","embryo"
"463","Corline","Calinoida","adult"
"464","Corline","acanthocyclops","adult"
"465","Corline","cyclopidae","adult"
"466","Corline","cyclopidae","nauplii"
"467","Corline","cypridopsis","adult"
"468","Corline","Eucypris","adult"
"469","Corline","Eucypris","juvenile"
"470","Corline","ilyocypris","adult"
"471","Corline","Rotifera","adult"
"472","Corline","bosmina","adult"
"473","Corline","chydorus","adult"
"474","Corline","ceriodaphnia","adult"
"475","Corline","pulex","adult"
"476","Corline","laevis","adult"
"477","Corline","mixtus","adult"
"478","Corline","Daphnidae","embryo"
"479","Corline","Calinoida","adult"
"480","Corline","acanthocyclops","adult"
"481","Corline","cyclopidae","adult"
"482","Corline","cyclopidae","nauplii"
"483","Corline","cypridopsis","adult"
"484","Corline","Eucypris","adult"
"485","Corline","Eucypris","juvenile"
"486","Corline","ilyocypris","adult"
"487","Corline","bosmina","adult"
"488","Corline","chydorus","adult"
"489","Corline","ceriodaphnia","adult"
"490","Corline","pulex","adult"
"491","Corline","laevis","adult"
"492","Corline","mixtus","adult"
"493","Corline","Daphnidae","embryo"
"494","Corline","Calinoida","adult"
"495","Corline","acanthocyclops","adult"
"496","Corline","cyclopidae","adult"
"497","Corline","cyclopidae","nauplii"
"498","Corline","cypridopsis","adult"
"499","Corline","Eucypris","adult"
"500","Corline","Eucypris","juvenile"
"501","Corline","Rotifera","adult"
"502","Corline","Nematoda","adult"
"503","Corline","Collembola","adult"
"504","Corline","bosmina","adult"
"505","Corline","chydorus","adult"
"506","Corline","ceriodaphnia","adult"
"507","Corline","magna","adult"
"508","Corline","pulex","adult"
"509","Corline","Calinoida","adult"
"510","Corline","acanthocyclops","adult"
"511","Corline","cyclopidae","adult"
"512","Corline","Eucypris","adult"
"513","Corline","Eucypris","juvenile"
"514","Corline","bosmina","adult"
"515","Corline","chydorus","adult"
"516","Corline","ceriodaphnia","adult"
"517","Corline","pulex","adult"
"518","Corline","laevis","adult"
"519","Corline","mixtus","adult"
"520","Corline","Daphnidae","embryo"
"521","Corline","Calinoida","adult"
"522","Corline","acanthocyclops","adult"
"523","Corline","cyclopidae","adult"
"524","Corline","cyclopidae","nauplii"
"525","Corline","cypridopsis","adult"
"526","Corline","Eucypris","adult"
"527","Corline","Eucypris","juvenile"
"528","Corline","Rotifera","adult"
"529","Corline","bosmina","adult"
"530","Corline","chydorus","adult"
"531","Corline","ceriodaphnia","adult"
"532","Corline","pulex","adult"
"533","Corline","laevis","adult"
"534","Corline","mixtus","adult"
"535","Corline","Daphnidae","embryo"
"536","Corline","acanthocyclops","adult"
"537","Corline","cyclopidae","adult"
"538","Corline","cyclopidae","nauplii"
"539","Corline","Eucypris","adult"
"540","Corline","Eucypris","juvenile"
"541","Corline","Rotifera","adult"
"542","Corline","bosmina","adult"
"543","Corline","chydorus","adult"
"544","Corline","ceriodaphnia","adult"
"545","Corline","pulex","adult"
"546","Corline","laevis","adult"
"547","Corline","parvula","adult"
"548","Corline","mixtus","adult"
"549","Corline","Daphnidae","embryo"
"550","Corline","acanthocyclops","adult"
"551","Corline","cyclopidae","adult"
"552","Corline","cyclopidae","nauplii"
"553","Corline","cypridopsis","adult"
"554","Corline","Eucypris","adult"
"555","Corline","Eucypris","juvenile"
"556","Corline","Rotifera","adult"
"557","Corline","bosmina","adult"
"558","Corline","chydorus","adult"
"559","Corline","ceriodaphnia","adult"
"560","Corline","magna","adult"
"561","Corline","pulex","adult"
"562","Corline","laevis","adult"
"563","Corline","mixtus","adult"
"564","Corline","Daphnidae","embryo"
"565","Corline","Calinoida","adult"
"566","Corline","acanthocyclops","adult"
"567","Corline","cyclopidae","adult"
"568","Corline","cyclopidae","nauplii"
"569","Corline","cypridopsis","adult"
"570","Corline","Eucypris","adult"
"571","Corline","Eucypris","juvenile"
"572","Corline","ilyocypris","adult"
"573","Corline","Rotifera","adult"
"574","Corline","bosmina","adult"
"575","Corline","chydorus","adult"
"576","Corline","ceriodaphnia","adult"
"577","Corline","pulex","adult"
"578","Corline","laevis","adult"
"579","Corline","parvula","adult"
"580","Corline","mixtus","adult"
"581","Corline","Daphnidae","embryo"
"582","Corline","Calinoida","adult"
"583","Corline","acanthocyclops","adult"
"584","Corline","cyclopidae","adult"
"585","Corline","cyclopidae","nauplii"
"586","Corline","cypridopsis","adult"
"587","Corline","Eucypris","adult"
"588","Corline","Eucypris","juvenile"
"589","Corline","ilyocypris","adult"
"590","Corline","Rotifera","adult"
"591","Corline","Collembola","adult"
"592","Corline","bosmina","adult"
"593","Corline","chydorus","adult"
"594","Corline","ceriodaphnia","adult"
"595","Corline","magna","adult"
"596","Corline","pulex","adult"
"597","Corline","mixtus","adult"
"598","Corline","Daphnidae","embryo"
"599","Corline","acanthocyclops","adult"
"600","Corline","cyclopidae","adult"
"601","Corline","cypridopsis","adult"
"602","Corline","Eucypris","adult"
"603","Corline","Eucypris","juvenile"
"604","Corline","ilyocypris","adult"
"605","Corline","Rotifera","adult"
"606","Corline","bosmina","adult"
"607","Corline","chydorus","adult"
"608","Corline","ceriodaphnia","adult"
"609","Corline","pulex","adult"
"610","Corline","laevis","adult"
"611","Corline","mixtus","adult"
"612","Corline","Daphnidae","embryo"
"613","Corline","Calinoida","adult"
"614","Corline","cyclopidae","adult"
"615","Corline","cyclopidae","nauplii"
"616","Corline","cypridopsis","adult"
"617","Corline","Eucypris","juvenile"
"618","Corline","ilyocypris","adult"
"619","Corline","Rotifera","adult"
"620","Corline","bosmina","adult"
"621","Corline","chydorus","adult"
"622","Corline","ceriodaphnia","adult"
"623","Corline","pulex","adult"
"624","Corline","mixtus","adult"
"625","Corline","acanthocyclops","adult"
"626","Corline","cyclopidae","adult"
"627","Corline","cypridopsis","adult"
"628","Corline","Eucypris","adult"
"629","Corline","Eucypris","juvenile"
"630","Corline","ilyocypris","adult"
"631","Corline","bosmina","adult"
"632","Corline","chydorus","adult"
"633","Corline","ceriodaphnia","adult"
"634","Corline","pulex","adult"
"635","Corline","laevis","adult"
"636","Corline","mixtus","adult"
"637","Corline","Daphnidae","embryo"
"638","Corline","acanthocyclops","adult"
"639","Corline","cyclopidae","adult"
"640","Corline","cyclopidae","nauplii"
"641","Corline","cypridopsis","adult"
"642","Corline","Eucypris","adult"
"643","Corline","Eucypris","juvenile"
"644","Corline","ilyocypris","adult"
"645","Corline","Rotifera","adult"
"646","Corline","bosmina","adult"
"647","Corline","chydorus","adult"
"648","Corline","ceriodaphnia","adult"
"649","Corline","magna","adult"
"650","Corline","pulex","adult"
"651","Corline","laevis","adult"
"652","Corline","mixtus","adult"
"653","Corline","Daphnidae","embryo"
"654","Corline","Calinoida","adult"
"655","Corline","acanthocyclops","adult"
"656","Corline","cyclopidae","adult"
"657","Corline","cyclopidae","nauplii"
"658","Corline","cypridopsis","adult"
"659","Corline","Eucypris","adult"
"660","Corline","Eucypris","juvenile"
"661","Corline","ilyocypris","adult"
"662","Corline","bosmina","adult"
"663","Corline","chydorus","adult"
"664","Corline","ceriodaphnia","adult"
"665","Corline","pulex","adult"
"666","Corline","laevis","adult"
"667","Corline","mixtus","adult"
"668","Corline","ilyocypris","adult"
"669","Corline","Calinoida","adult"
"670","Corline","acanthocyclops","adult"
"671","Corline","cyclopidae","adult"
"672","Corline","cyclopidae","nauplii"
"673","Corline","cypridopsis","adult"
"674","Corline","Eucypris","adult"
"675","Corline","Eucypris","juvenile"
"676","Corline","ilyocypris","adult"
"677","Corline","Rotifera","adult"
"678","Corline","bosmina","adult"
"679","Corline","chydorus","adult"
"680","Corline","ceriodaphnia","adult"
"681","Corline","magna","adult"
"682","Corline","pulex","adult"
"683","Corline","mixtus","adult"
"684","Corline","Daphnidae","embryo"
"685","Corline","Holopedium","adult"
"686","Corline","Macrothixidae","adult"
"687","Corline","Sida","adult"
"688","Corline","Calinoida","adult"
"689","Corline","acanthocyclops","adult"
"690","Corline","cyclopidae","adult"
"691","Corline","Eucypris","adult"
"692","Corline","Eucypris","juvenile"
"693","Corline","bosmina","adult"
"694","Corline","chydorus","adult"
"695","Corline","ceriodaphnia","adult"
"696","Corline","pulex","adult"
"697","Corline","mixtus","adult"
"698","Corline","Calinoida","adult"
"699","Corline","acanthocyclops","adult"
"700","Corline","cyclopidae","adult"
"701","Corline","cypridopsis","adult"
"702","Corline","Eucypris","adult"
"703","Corline","Eucypris","juvenile"
"704","Corline","Rotifera","adult"
"705","Corline","bosmina","adult"
"706","Corline","chydorus","adult"
"707","Corline","ceriodaphnia","adult"
"708","Corline","magna","adult"
"709","Corline","pulex","adult"
"710","Corline","laevis","adult"
"711","Corline","mixtus","adult"
"712","Corline","acanthocyclops","adult"
"713","Corline","cyclopidae","adult"
"714","Corline","cypridopsis","adult"
"715","Corline","Eucypris","adult"
"716","Corline","Eucypris","juvenile"
"717","Corline","bosmina","adult"
"718","Corline","chydorus","adult"
"719","Corline","ceriodaphnia","adult"
"720","Corline","pulex","adult"
"721","Corline","mixtus","adult"
"722","Corline","Daphnidae","embryo"
"723","Corline","cyclopidae","adult"
"724","Corline","cyclopidae","nauplii"
"725","Corline","Eucypris","adult"
"726","Corline","Eucypris","juvenile"
"727","Corline","Rotifera","adult"
"728","Corline","bosmina","adult"
"729","Corline","chydorus","adult"
"730","Corline","ceriodaphnia","adult"
"731","Corline","magna","adult"
"732","Corline","pulex","adult"
"733","Corline","laevis","adult"
"734","Corline","mixtus","adult"
"735","Corline","acanthocyclops","adult"
"736","Corline","cyclopidae","adult"
"737","Corline","cypridopsis","adult"
"738","Corline","Eucypris","adult"
"739","Corline","Eucypris","juvenile"
"740","Corline","Bosmina","adult"
"741","Corline","Chydoridae","adult"
"742","Corline","chydorus","adult"
"743","Corline","Ceriodaphnia","adult"
"744","Corline","pulex","adult"
"745","Corline","laevis","adult"
"746","Corline","mixtus","adult"
"747","Corline","Daphniidae","embryo"
"748","Corline","Daphniidae","egg"
"749","Corline","Acanthocyclops","adult"
"750","Corline","Cyclopidae","adult"
"751","Corline","cypridopsis","adult"
"752","Corline","Eucypris","adult"
"753","Corline","Eucypris","juvenile"
"754","Corline","ilyocypris","adult"
"755","Corline","Bosmina","adult"
"756","Corline","Chydoridae","adult"
"757","Corline","chydorus","adult"
"758","Corline","Ceriodaphnia","adult"
"759","Corline","pulex","adult"
"760","Corline","mixtus","adult"
"761","Corline","Daphniidae","embryo"
"762","Corline","Daphniidae","egg"
"763","Corline","Calinoida","adult"
"764","Corline","Acanthocyclops","adult"
"765","Corline","Diacyclops","adult"
"766","Corline","Cyclopidae","adult"
"767","Corline","Cyclopidae","nauplii"
"768","Corline","Harpacticoida","adult"
"769","Corline","Eucypris","adult"
"770","Corline","Eucypris","juvenile"
"771","Corline","ilyocypris","adult"
"772","Corline","Nematoda","adult"
"773","Corline","Diplotesticulata","adult"
"774","Corline","Bosmina","adult"
"775","Corline","chydorus","adult"
"776","Corline","Ceriodaphnia","adult"
"777","Corline","pulex","adult"
"778","Corline","longirostrus","adult"
"779","Corline","mixtus","adult"
"780","Corline","Daphniidae","embryo"
"781","Corline","Daphniidae","egg"
"782","Corline","Calinoida","adult"
"783","Corline","Acanthocyclops","adult"
"784","Corline","Cyclopidae","adult"
"785","Corline","Cyclopidae","nauplii"
"786","Corline","cypridopsis","adult"
"787","Corline","Eucypris","adult"
"788","Corline","Eucypris","juvenile"
"789","Corline","Rotifera","adult"
"790","Corline","Bosmina","adult"
"791","Corline","Chydoridae","adult"
"792","Corline","chydorus","adult"
"793","Corline","Ceriodaphnia","adult"
"794","Corline","pulex","adult"
"795","Corline","mixtus","adult"
"796","Corline","Daphniidae","embryo"
"797","Corline","Daphniidae","egg"
"798","Corline","Acanthocyclops","adult"
"799","Corline","Diacyclops","adult"
"800","Corline","Cyclopidae","adult"
"801","Corline","Cyclopidae","nauplii"
"802","Corline","Eucypris","adult"
"803","Corline","Eucypris","juvenile"
